     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.3000000000E+06    0.3549952189E+00    0.3096785966E+00
    0.5000000000E+06    0.3607035619E+00    0.3090104124E+00
    0.7000000000E+06    0.3642165726E+00    0.3082266828E+00
    0.9000000000E+06    0.3668237506E+00    0.3075627722E+00
    0.1100000000E+07    0.3689428757E+00    0.3070238288E+00
    0.1300000000E+07    0.3707585830E+00    0.3065896978E+00
    0.1500000000E+07    0.3723679184E+00    0.3062407701E+00
    0.1700000000E+07    0.3738279378E+00    0.3059612999E+00
    0.1900000000E+07    0.3751749328E+00    0.3057390792E+00
    0.2100000000E+07    0.3764333754E+00    0.3055646421E+00
    0.2300000000E+07    0.3776205292E+00    0.3054305738E+00
    0.2500000000E+07    0.3787490173E+00    0.3053309891E+00
    0.2700000000E+07    0.3798283435E+00    0.3052611543E+00
    0.2900000000E+07    0.3808658390E+00    0.3052172134E+00
    0.3100000000E+07    0.3818672761E+00    0.3051959880E+00
    0.3300000000E+07    0.3828372799E+00    0.3051948300E+00
    0.3500000000E+07    0.3837796128E+00    0.3052115117E+00
    0.3700000000E+07    0.3846973763E+00    0.3052441420E+00
    0.3900000000E+07    0.3855931570E+00    0.3052911028E+00
    0.4100000000E+07    0.3864691344E+00    0.3053509991E+00
    0.4300000000E+07    0.3873271622E+00    0.3054226204E+00
    0.4500000000E+07    0.3881688302E+00    0.3055049096E+00
    0.4700000000E+07    0.3889955119E+00    0.3055969384E+00
    0.4900000000E+07    0.3898084023E+00    0.3056978872E+00
    0.5100000000E+07    0.3906085474E+00    0.3058070292E+00
    0.5300000000E+07    0.3913968682E+00    0.3059237166E+00
    0.5500000000E+07    0.3921741798E+00    0.3060473698E+00
    0.5700000000E+07    0.3929412073E+00    0.3061774685E+00
    0.5900000000E+07    0.3936985981E+00    0.3063135434E+00
    0.6100000000E+07    0.3944469334E+00    0.3064551700E+00
    0.6300000000E+07    0.3951867362E+00    0.3066019635E+00
