     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1700000000E+09    0.6800161983E+00    0.4002707921E-04    0.6813206106E+00
    0.1900000000E+09    0.6800196049E+00    0.3775500554E-04    0.6813211363E+00
    0.2100000000E+09    0.6800224830E+00    0.3582097628E-04    0.6813215995E+00
    0.2300000000E+09    0.6800249533E+00    0.3414910107E-04    0.6813220141E+00
    0.2500000000E+09    0.6800271012E+00    0.3268533723E-04    0.6813223902E+00
    0.2700000000E+09    0.6800289890E+00    0.3139002388E-04    0.6813227350E+00
    0.2900000000E+09    0.6800306639E+00    0.3023331303E-04    0.6813230537E+00
    0.3100000000E+09    0.6800321615E+00    0.2919225682E-04    0.6813233504E+00
    0.3300000000E+09    0.6800335100E+00    0.2824888568E-04    0.6813236284E+00
    0.3500000000E+09    0.6800347317E+00    0.2738890216E-04    0.6813238903E+00
    0.3700000000E+09    0.6800358443E+00    0.2660077034E-04    0.6813241380E+00
    0.3900000000E+09    0.6800368626E+00    0.2587506666E-04    0.6813243733E+00
    0.4100000000E+09    0.6800377986E+00    0.2520400785E-04    0.6813245975E+00
    0.4300000000E+09    0.6800386622E+00    0.2458110166E-04    0.6813248118E+00
    0.4500000000E+09    0.6800394618E+00    0.2400088431E-04    0.6813250173E+00
    0.4700000000E+09    0.6800402045E+00    0.2345872030E-04    0.6813252147E+00
    0.4900000000E+09    0.6800408965E+00    0.2295064791E-04    0.6813254047E+00
    0.1000000000E+09    0.6799965004E+00    0.5289675567E-04    0.6813178379E+00
