     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+07    0.2020433227E+00    0.4791340047E+00
    0.3000000000E+07    0.2022628949E+00    0.4841303752E+00
    0.5000000000E+07    0.2030699416E+00    0.4884490623E+00
    0.7000000000E+07    0.2040402883E+00    0.4925361101E+00
    0.9000000000E+07    0.2050822593E+00    0.4964870148E+00
    0.1100000000E+08    0.2061605295E+00    0.5003390624E+00
    0.1300000000E+08    0.2072578117E+00    0.5041110121E+00
    0.1500000000E+08    0.2083644142E+00    0.5078138350E+00
    0.1700000000E+08    0.2094744056E+00    0.5114546427E+00
    0.1900000000E+08    0.2105839288E+00    0.5150384094E+00
    0.2100000000E+08    0.2116903646E+00    0.5185688258E+00
    0.2300000000E+08    0.2127918772E+00    0.5220487624E+00
    0.2500000000E+08    0.2138871504E+00    0.5254805387E+00
    0.2700000000E+08    0.2149752251E+00    0.5288660888E+00
    0.2900000000E+08    0.2160553960E+00    0.5322070670E+00
    0.3100000000E+08    0.2171271418E+00    0.5355049191E+00
    0.3300000000E+08    0.2181900784E+00    0.5387609313E+00
    0.3500000000E+08    0.2192439249E+00    0.5419762639E+00
    0.3700000000E+08    0.2202884800E+00    0.5451519770E+00
    0.3900000000E+08    0.2213236041E+00    0.5482890488E+00
    0.4100000000E+08    0.2223492061E+00    0.5513883895E+00
    0.4300000000E+08    0.2233652332E+00    0.5544508517E+00
    0.4500000000E+08    0.2243716636E+00    0.5574772394E+00
    0.4700000000E+08    0.2253684999E+00    0.5604683140E+00
    0.4900000000E+08    0.2263557649E+00    0.5634247999E+00
    0.5100000000E+08    0.2273334974E+00    0.5663473887E+00
    0.5300000000E+08    0.2283017495E+00    0.5692367426E+00
    0.5500000000E+08    0.2292605839E+00    0.5720934976E+00
    0.5700000000E+08    0.2302100720E+00    0.5749182656E+00
    0.5900000000E+08    0.2311502923E+00    0.5777116367E+00
    0.6100000000E+08    0.2320813292E+00    0.5804741808E+00
    0.6300000000E+08    0.2330032713E+00    0.5832064492E+00
    0.6500000000E+08    0.2339162113E+00    0.5859089760E+00
    0.6700000000E+08    0.2348202444E+00    0.5885822791E+00
    0.6900000000E+08    0.2357154685E+00    0.5912268611E+00
    0.7100000000E+08    0.2366019827E+00    0.5938432106E+00
    0.7300000000E+08    0.2374798878E+00    0.5964318025E+00
    0.7500000000E+08    0.2383492850E+00    0.5989930990E+00
    0.7700000000E+08    0.2392102763E+00    0.6015275504E+00
    0.7900000000E+08    0.2400629638E+00    0.6040355952E+00
    0.8100000000E+08    0.2409074497E+00    0.6065176609E+00
    0.8300000000E+08    0.2417438358E+00    0.6089741648E+00
    0.8500000000E+08    0.2425722237E+00    0.6114055137E+00
    0.8700000000E+08    0.2433927142E+00    0.6138121051E+00
    0.8900000000E+08    0.2442054078E+00    0.6161943270E+00
    0.9100000000E+08    0.2450104039E+00    0.6185525586E+00
    0.9300000000E+08    0.2458078012E+00    0.6208871704E+00
    0.9500000000E+08    0.2465976974E+00    0.6231985246E+00
    0.9700000000E+08    0.2473801892E+00    0.6254869756E+00
    0.9900000000E+08    0.2481553724E+00    0.6277528698E+00
    0.1000000000E+08    0.2056181862E+00    0.4984239682E+00
