# pressure,temperature,f1,f2,molkg1,molkg2
4.300000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.115928338999999853e-02,2.506329637000000166e-02
4.500000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.209440174999999923e-02,2.616821209000000023e-02
4.700000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.302550399000000136e-02,2.726824603999999930e-02
4.900000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.395262973000000101e-02,2.836345827999999999e-02
5.100000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.487581802999999994e-02,2.945390781999999985e-02
5.300000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.579510730000000168e-02,3.053965264999999873e-02
5.500000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.671053543000000141e-02,3.162074976999999787e-02
5.700000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.762213971000000018e-02,3.269725520999999802e-02
5.900000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.852995684999999962e-02,3.376922400000000046e-02
6.100000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.943402306000000163e-02,3.483671023999999894e-02
6.300000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.033437397999999910e-02,3.589976708999999960e-02
6.500000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.123104470999999924e-02,3.695844680000000271e-02
6.700000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.212406987000000075e-02,3.801280069000000095e-02
6.900000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.301348352999999847e-02,3.906287920999999830e-02
7.100000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.389931929000000038e-02,4.010873194000000308e-02
7.300000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.478161023999999657e-02,4.115040756999999855e-02
7.500000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.566038900000000067e-02,4.218795396000000336e-02
7.700000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.653568772000000131e-02,4.322141815000000303e-02
7.900000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.740753805000000126e-02,4.425084633999999684e-02
8.100000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.827597123999999795e-02,4.527628394000000195e-02
8.300000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.914101804000000295e-02,4.629777555000000322e-02
8.500000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,4.000270880000000168e-02,4.731536501999999977e-02
8.700000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,4.086107341999999781e-02,4.832909539000000004e-02
8.900000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,4.171614136000000028e-02,4.933900900000000311e-02
9.100000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,4.256794170000000044e-02,5.034514739999999822e-02
9.300000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,4.341650307000000097e-02,5.134755146000000159e-02
9.500000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,4.426185373000000173e-02,5.234626128000000045e-02
9.700000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,4.510402153999999719e-02,5.334131629999999680e-02
9.900000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,4.594303395000000345e-02,5.433275525000000328e-02
1.000000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,5.111876647999999586e-03,6.069119316999999590e-03
3.000000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.498028044000000031e-02,1.775802873000000004e-02
5.000000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.441471364999999935e-02,2.890927474000000094e-02
7.000000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,3.345684656999999701e-02,3.958633074000000168e-02
9.000000000000000000e+02,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,4.214244818000000004e-02,4.984254753000000315e-02
1.100000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,5.050239131999999936e-02,5.972269949999999689e-02
1.300000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,5.856346702999999654e-02,6.926431037999999929e-02
1.500000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,6.634904598999999403e-02,7.849878964999999764e-02
1.700000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,7.387961760000000266e-02,8.745240611000000552e-02
1.900000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,8.117323122000000279e-02,9.614712153000000427e-02
2.100000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,8.824585887999999989e-02,1.046013038999999978e-01
2.300000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,9.511169517999999712e-02,1.128303365000000030e-01
2.500000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.017834065000000066e-01,1.208471376000000014e-01
2.700000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.082723391000000035e-01,1.286626013000000124e-01
2.900000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.145886948000000016e-01,1.362859717000000082e-01
3.100000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.207416785999999992e-01,1.437251572999999893e-01
3.300000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.267396248000000059e-01,1.509869949000000044e-01
3.500000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.325901049000000054e-01,1.580774692999999953e-01
3.700000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.383000199999999957e-01,1.650018937999999935e-01
3.900000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.438756805999999999e-01,1.717650592999999948e-01
4.100000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.493228759000000128e-01,1.783713536000000044e-01
4.300000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.546469336000000083e-01,1.848248577000000115e-01
4.500000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.598527723000000011e-01,1.911294213999999991e-01
4.700000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.649449471999999972e-01,1.972887222999999968e-01
4.900000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.699276896999999953e-01,2.033063102999999872e-01
5.100000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.748049429000000099e-01,2.091856410000000055e-01
5.300000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.795803916000000000e-01,2.149300993000000104e-01
5.500000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.842574892999999936e-01,2.205430160000000084e-01
5.700000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.888394817000000059e-01,2.260276781999999984e-01
5.900000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.933294275000000118e-01,2.313873351999999883e-01
6.100000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,1.977302163000000113e-01,2.366252014999999931e-01
6.300000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.020445845000000129e-01,2.417444562000000130e-01
6.500000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.062751294000000069e-01,2.467482421999999953e-01
6.700000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.104243216999999999e-01,2.516396625000000276e-01
6.900000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.144945155999999908e-01,2.564217773999999950e-01
7.100000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.184879590999999899e-01,2.610976003000000101e-01
7.300000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.224068022000000033e-01,2.656700938000000067e-01
7.500000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.262531040999999910e-01,2.701421661999999779e-01
7.700000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.300288400999999927e-01,2.745166680000000192e-01
7.900000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.337359071000000010e-01,2.787963884999999920e-01
8.100000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.373761295000000049e-01,2.829840533999999908e-01
8.300000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.409512628000000101e-01,2.870823229000000198e-01
8.500000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.444629986999999893e-01,2.910937892000000082e-01
8.700000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.479129684999999972e-01,2.950209759999999903e-01
8.900000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.513027463999999989e-01,2.988663373000000067e-01
9.100000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.546338524999999797e-01,3.026322567999999991e-01
9.300000000000000000e+03,5.000000000000000000e+02,4.000000000000000222e-01,5.000000000000000000e-01,2.579077558999999797e-01,3.063210480999999930e-01
