      Pressure (pa)     C7-500 (mol/kg)     3mC6-500 (mol/kg)
    0.1010000000E+06    0.5175859107E+00    0.1390871671E+00
    0.1030000000E+06    0.5180193147E+00    0.1391139376E+00
    0.1050000000E+06    0.5184386423E+00    0.1391383854E+00
    0.1070000000E+06    0.5188446297E+00    0.1391606625E+00
    0.1090000000E+06    0.5192379616E+00    0.1391809093E+00
    0.1110000000E+06    0.5196192759E+00    0.1391992553E+00
    0.1130000000E+06    0.5199891675E+00    0.1392158205E+00
    0.1150000000E+06    0.5203481921E+00    0.1392307162E+00
    0.1170000000E+06    0.5206968692E+00    0.1392440452E+00
    0.1190000000E+06    0.5210356851E+00    0.1392559032E+00
    0.1000000000E+05    0.3872006368E+00    0.1107492250E+00
    0.3000000000E+05    0.4739540912E+00    0.1321270168E+00
    0.5000000000E+05    0.4971446387E+00    0.1365829590E+00
    0.7000000000E+05    0.5082498779E+00    0.1381984679E+00
    0.9000000000E+05    0.5149118378E+00    0.1388902617E+00
    0.1100000000E+06    0.5194300828E+00    0.1391903122E+00
    0.1300000000E+06    0.5227419285E+00    0.1392985075E+00
    0.1500000000E+06    0.5253033385E+00    0.1393042597E+00
    0.1700000000E+06    0.5273637683E+00    0.1392523829E+00
    0.1900000000E+06    0.5290716850E+00    0.1391671977E+00
    0.2100000000E+06    0.5305212469E+00    0.1390626874E+00
    0.2300000000E+06    0.5317752130E+00    0.1389472429E+00
    0.2500000000E+06    0.5328771204E+00    0.1388260599E+00
    0.2700000000E+06    0.5338581821E+00    0.1387024283E+00
    0.2900000000E+06    0.5347414003E+00    0.1385784610E+00
    0.3100000000E+06    0.5355441276E+00    0.1384555236E+00
    0.3300000000E+06    0.5362797207E+00    0.1383344961E+00
    0.3500000000E+06    0.5369586424E+00    0.1382159372E+00
    0.3700000000E+06    0.5375892151E+00    0.1381001905E+00
    0.3900000000E+06    0.5381781491E+00    0.1379874532E+00
    0.4100000000E+06    0.5387309211E+00    0.1378778232E+00
    0.4300000000E+06    0.5392520494E+00    0.1377713303E+00
    0.4500000000E+06    0.5397452983E+00    0.1376679581E+00
    0.4700000000E+06    0.5402138321E+00    0.1375676587E+00
    0.4900000000E+06    0.5406603316E+00    0.1374703635E+00
    0.5100000000E+06    0.5410870856E+00    0.1373759903E+00
    0.5300000000E+06    0.5414960608E+00    0.1372844492E+00
    0.5500000000E+06    0.5418889580E+00    0.1371956453E+00
    0.5700000000E+06    0.5422672564E+00    0.1371094824E+00
    0.5900000000E+06    0.5426322494E+00    0.1370258639E+00
    0.6100000000E+06    0.5429850737E+00    0.1369446947E+00
    0.6300000000E+06    0.5433267326E+00    0.1368658818E+00
    0.6500000000E+06    0.5436581155E+00    0.1367893350E+00
    0.6700000000E+06    0.5439800142E+00    0.1367149672E+00
    0.6900000000E+06    0.5442931363E+00    0.1366426945E+00
    0.7100000000E+06    0.5445981162E+00    0.1365724366E+00
    0.7300000000E+06    0.5448955245E+00    0.1365041166E+00
    0.7500000000E+06    0.5451858763E+00    0.1364376609E+00
    0.7700000000E+06    0.5454696379E+00    0.1363729994E+00
    0.7900000000E+06    0.5457472326E+00    0.1363100652E+00
    0.8100000000E+06    0.5460190456E+00    0.1362487946E+00
    0.8300000000E+06    0.5462854282E+00    0.1361891267E+00
    0.8500000000E+06    0.5465467020E+00    0.1361310038E+00
    0.8700000000E+06    0.5468031618E+00    0.1360743706E+00
    0.8900000000E+06    0.5470550781E+00    0.1360191747E+00
    0.9100000000E+06    0.5473027003E+00    0.1359653659E+00
    0.9300000000E+06    0.5475462582E+00    0.1359128967E+00
    0.9500000000E+06    0.5477859644E+00    0.1358617215E+00
    0.9700000000E+06    0.5480220154E+00    0.1358117970E+00
    0.9900000000E+06    0.5482545939E+00    0.1357630817E+00
    0.1010000000E+07    0.5484838691E+00    0.1357155362E+00
    0.1030000000E+07    0.5487099988E+00    0.1356691229E+00
    0.1050000000E+07    0.5489331300E+00    0.1356238056E+00
    0.1070000000E+07    0.5491533996E+00    0.1355795500E+00
    0.1090000000E+07    0.5493709359E+00    0.1355363232E+00
    0.1110000000E+07    0.5495858588E+00    0.1354940937E+00
    0.1130000000E+07    0.5497982805E+00    0.1354528314E+00
    0.1150000000E+07    0.5500083064E+00    0.1354125074E+00
    0.1170000000E+07    0.5502160356E+00    0.1353730941E+00
    0.1190000000E+07    0.5504215611E+00    0.1353345651E+00
    0.1000000000E+06    0.5173636849E+00    0.1390728597E+00
    0.3000000000E+06    0.5351519118E+00    0.1385167994E+00
    0.5000000000E+06    0.5408760471E+00    0.1374228171E+00
    0.7000000000E+06    0.5444466070E+00    0.1366073186E+00
    0.9000000000E+06    0.5471794111E+00    0.1359920999E+00
    0.1100000000E+07    0.5494787168E+00    0.1355150857E+00
    0.1300000000E+07    0.5515162355E+00    0.1351373776E+00
    0.1500000000E+07    0.5533794182E+00    0.1348339597E+00
    0.1700000000E+07    0.5551183644E+00    0.1345880022E+00
    0.1900000000E+07    0.5567642539E+00    0.1343877034E+00
    0.2100000000E+07    0.5583377251E+00    0.1342244925E+00
    0.2300000000E+07    0.5598531051E+00    0.1340919588E+00
    0.2500000000E+07    0.5613207247E+00    0.1339851877E+00
    0.2700000000E+07    0.5627482673E+00    0.1339003311E+00
    0.2900000000E+07    0.5641415961E+00    0.1338343217E+00
    0.3100000000E+07    0.5655052838E+00    0.1337846759E+00
    0.3300000000E+07    0.5668429637E+00    0.1337493551E+00
    0.3500000000E+07    0.5681575693E+00    0.1337266663E+00
    0.3700000000E+07    0.5694515029E+00    0.1337151881E+00
    0.3900000000E+07    0.5707267562E+00    0.1337137159E+00
    0.4100000000E+07    0.5719849993E+00    0.1337212202E+00
    0.4300000000E+07    0.5732276459E+00    0.1337368145E+00
    0.4500000000E+07    0.5744559038E+00    0.1337597299E+00
    0.4700000000E+07    0.5756708133E+00    0.1337892954E+00
    0.4900000000E+07    0.5768732768E+00    0.1338249220E+00
    0.5100000000E+07    0.5780640826E+00    0.1338660901E+00
    0.5300000000E+07    0.5792439232E+00    0.1339123389E+00
    0.5500000000E+07    0.5804134110E+00    0.1339632580E+00
    0.5700000000E+07    0.5815730900E+00    0.1340184803E+00
    0.5900000000E+07    0.5827234460E+00    0.1340776763E+00
    0.6100000000E+07    0.5838649148E+00    0.1341405489E+00
    0.6300000000E+07    0.5849978889E+00    0.1342068297E+00
    0.6500000000E+07    0.5861227233E+00    0.1342762751E+00
    0.6700000000E+07    0.5872397405E+00    0.1343486637E+00
    0.6900000000E+07    0.5883492340E+00    0.1344237935E+00
    0.7100000000E+07    0.5894514725E+00    0.1345014797E+00
    0.7300000000E+07    0.5905467019E+00    0.1345815529E+00
    0.7500000000E+07    0.5916351489E+00    0.1346638576E+00
    0.7700000000E+07    0.5927170223E+00    0.1347482505E+00
    0.7900000000E+07    0.5937925152E+00    0.1348345993E+00
    0.8100000000E+07    0.5948618067E+00    0.1349227819E+00
    0.8300000000E+07    0.5959250634E+00    0.1350126850E+00
    0.8500000000E+07    0.5969824404E+00    0.1351042036E+00
    0.8700000000E+07    0.5980340825E+00    0.1351972401E+00
    0.8900000000E+07    0.5990801252E+00    0.1352917037E+00
    0.9100000000E+07    0.6001206957E+00    0.1353875096E+00
    0.9300000000E+07    0.6011559133E+00    0.1354845787E+00
    0.9500000000E+07    0.6021858903E+00    0.1355828372E+00
    0.9700000000E+07    0.6032107328E+00    0.1356822159E+00
    0.9900000000E+07    0.6042305409E+00    0.1357826498E+00
    0.1010000000E+08    0.6052454091E+00    0.1358840782E+00
    0.1030000000E+08    0.6062554272E+00    0.1359864439E+00
    0.1050000000E+08    0.6072606805E+00    0.1360896931E+00
    0.1070000000E+08    0.6082612497E+00    0.1361937752E+00
    0.1090000000E+08    0.6092572121E+00    0.1362986425E+00
    0.1110000000E+08    0.6102486408E+00    0.1364042499E+00
    0.1130000000E+08    0.6112356062E+00    0.1365105551E+00
    0.1150000000E+08    0.6122181750E+00    0.1366175179E+00
    0.1170000000E+08    0.6131964115E+00    0.1367251003E+00
    0.1190000000E+08    0.6141703768E+00    0.1368332664E+00
    0.1000000000E+07    0.5483696343E+00    0.1357391651E+00
    0.3000000000E+07    0.5648268992E+00    0.1338075899E+00
    0.5000000000E+07    0.5774700916E+00    0.1338448434E+00
    0.7000000000E+07    0.5889012443E+00    0.1344623280E+00
    0.9000000000E+07    0.5996010869E+00    0.1353394439E+00
    0.1100000000E+08    0.6097534887E+00    0.1363513564E+00
    0.1300000000E+08    0.6194533577E+00    0.1374371762E+00
    0.1500000000E+08    0.6287591593E+00    0.1385631475E+00
    0.1700000000E+08    0.6377113876E+00    0.1397089688E+00
    0.1900000000E+08    0.6463404678E+00    0.1408617440E+00
    0.2100000000E+08    0.6546706194E+00    0.1420129697E+00
    0.2300000000E+08    0.6627219404E+00    0.1431568977E+00
    0.2500000000E+08    0.6705116211E+00    0.1442895844E+00
    0.2700000000E+08    0.6780546969E+00    0.1454083089E+00
    0.2900000000E+08    0.6853645399E+00    0.1465112007E+00
    0.3100000000E+08    0.6924531953E+00    0.1475969940E+00
    0.3300000000E+08    0.6993316191E+00    0.1486648605E+00
    0.3500000000E+08    0.7060098546E+00    0.1497142923E+00
    0.3700000000E+08    0.7124971638E+00    0.1507450186E+00
    0.3900000000E+08    0.7188021315E+00    0.1517569454E+00
    0.4100000000E+08    0.7249327468E+00    0.1527501112E+00
    0.4300000000E+08    0.7308964700E+00    0.1537246539E+00
    0.4500000000E+08    0.7367002873E+00    0.1546807853E+00
    0.4700000000E+08    0.7423507572E+00    0.1556187728E+00
    0.4900000000E+08    0.7478540497E+00    0.1565389241E+00
    0.5100000000E+08    0.7532159802E+00    0.1574415766E+00
    0.5300000000E+08    0.7584420389E+00    0.1583270880E+00
    0.5500000000E+08    0.7635374166E+00    0.1591958301E+00
    0.5700000000E+08    0.7685070277E+00    0.1600481829E+00
    0.5900000000E+08    0.7733555303E+00    0.1608845309E+00
    0.6100000000E+08    0.7780873447E+00    0.1617052596E+00
    0.6300000000E+08    0.7827066698E+00    0.1625107530E+00
    0.6500000000E+08    0.7872174977E+00    0.1633013917E+00
    0.6700000000E+08    0.7916236276E+00    0.1640775512E+00
    0.6900000000E+08    0.7959286782E+00    0.1648396009E+00
    0.7100000000E+08    0.8001360983E+00    0.1655879033E+00
    0.7300000000E+08    0.8042491781E+00    0.1663228129E+00
    0.7500000000E+08    0.8082710580E+00    0.1670446764E+00
    0.7700000000E+08    0.8122047377E+00    0.1677538318E+00
    0.7900000000E+08    0.8160530843E+00    0.1684506084E+00
    0.8100000000E+08    0.8198188401E+00    0.1691353269E+00
    0.8300000000E+08    0.8235046288E+00    0.1698082991E+00
    0.8500000000E+08    0.8271129631E+00    0.1704698278E+00
    0.8700000000E+08    0.8306462496E+00    0.1711202075E+00
    0.8900000000E+08    0.8341067955E+00    0.1717597237E+00
    0.9100000000E+08    0.8374968130E+00    0.1723886537E+00
    0.9300000000E+08    0.8408184247E+00    0.1730072664E+00
    0.9500000000E+08    0.8440736681E+00    0.1736158227E+00
    0.9700000000E+08    0.8472645000E+00    0.1742145755E+00
    0.9900000000E+08    0.8503928002E+00    0.1748037700E+00
    0.1010000000E+09    0.8534603756E+00    0.1753836439E+00
    0.1030000000E+09    0.8564689638E+00    0.1759544278E+00
    0.1050000000E+09    0.8594202363E+00    0.1765163450E+00
    0.1070000000E+09    0.8623158016E+00    0.1770696120E+00
    0.1090000000E+09    0.8651572083E+00    0.1776144389E+00
    0.1110000000E+09    0.8679459479E+00    0.1781510291E+00
    0.1130000000E+09    0.8706834574E+00    0.1786795798E+00
    0.1150000000E+09    0.8733711219E+00    0.1792002825E+00
    0.1170000000E+09    0.8760102766E+00    0.1797133225E+00
    0.1190000000E+09    0.8786022094E+00    0.1802188797E+00
    0.1000000000E+08    0.6047385867E+00    0.1358332434E+00
    0.3000000000E+08    0.6889358081E+00    0.1470562951E+00
    0.5000000000E+08    0.7505523347E+00    0.1569924157E+00
    0.7000000000E+08    0.7980443828E+00    0.1652154482E+00
    0.9000000000E+08    0.8358104856E+00    0.1720754950E+00
    0.1100000000E+09    0.8665580704E+00    0.1778837511E+00
    0.1300000000E+09    0.8920671659E+00    0.1828732266E+00
    0.1500000000E+09    0.9135608388E+00    0.1872153064E+00
    0.1700000000E+09    0.9319085194E+00    0.1910372167E+00
    0.1900000000E+09    0.9477456088E+00    0.1944348778E+00
    0.2100000000E+09    0.9615473958E+00    0.1974818036E+00
    0.2300000000E+09    0.9736765438E+00    0.2002352264E+00
    0.2500000000E+09    0.9844145936E+00    0.2027403542E+00
    0.2700000000E+09    0.9939834406E+00    0.2050333725E+00
    0.2900000000E+09    0.1002560328E+01    0.2071435960E+00
    0.3100000000E+09    0.1010288530E+01    0.2090950335E+00
    0.3300000000E+09    0.1017285111E+01    0.2109075454E+00
    0.3500000000E+09    0.1023646651E+01    0.2125977102E+00
    0.3700000000E+09    0.1029453528E+01    0.2141794818E+00
    0.3900000000E+09    0.1034773177E+01    0.2156646953E+00
    0.4100000000E+09    0.1039662587E+01    0.2170634589E+00
    0.4300000000E+09    0.1044170248E+01    0.2183844621E+00
    0.4500000000E+09    0.1048337673E+01    0.2196352197E+00
    0.4700000000E+09    0.1052200606E+01    0.2208222667E+00
    0.4900000000E+09    0.1055789989E+01    0.2219513153E+00
    0.5100000000E+09    0.1059132741E+01    0.2230273830E+00
